LABEL;question;answer;context
;What does whistler stand for?;nlb.si; NLB Net and publiclyaccessible Whistler application at whistler.nlb.si Implementation of procedures and mechanism for dealing with susp
;What are the key non-financial performance indicators relevant to individual activities?;there have been no confirmed violations;financial performance indicators relevant to individual activities there have been no confirmed violations of fundamental human rights vis--vis employees and customers, or by
;What have there been no confirmed violations of fundamental human rights?;employees and customers;e been no confirmed violations of fundamental human rights vis--vis employees and customers, or by external contractors and suppliers andother contractual partn
;What is required of all employees in the NLB Group Sustainability Report 2020?;compulsory training in the field of standards of conduct;and suppliers andother contractual partners all employees receive compulsory training in the field of standards of conduct.27 NLB Group Sustainability Report 2020Contents 2020 Highlights Sus
;What are the GRI Standards 2021 Roadmap?;Sustainability Framework Human Rights Regulation  Governance;uct.27 NLB Group Sustainability Report 2020Contents 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 RoadmapZero tolerance and prohibition of any form
OK;What is the basic document defining the desired and prohibited conduct in NLB d.d. and NLB Group?;the NLB Group Code of Conduct;amples and guidelines for the employees have already been included inthe NLB Group Code of Conduct, which is the basic document defining thedesired and prohibited cond
;What are the results of policies and internal or external rules, instructions, or regulations?;findings reached by the Bank on the basis of monitoring the implementation;olicies and internal or external rules, instructions, or regulationsfindings reached by the Bank on the basis of monitoring the implementationWith the purpose to ensure the dignity of employees and to provide 
;What is the purpose of the Bank?;to ensure the dignity of employees;Bank on the basis of monitoring the implementationWith the purpose to ensure the dignity of employees and to provide a workingenvironment in which no worker is exposed to
;Who is exposed to maltreatment and sexual or other harassment by anybody performing tasks for NLB d.d.?;no worker;he dignity of employees and to provide a workingenvironment in which no worker is exposed to maltreatment and sexual orother harassment by anybody 
;What has NLB established a system for preventing all forms of mobbing?;With the purpose to ensure the dignity of employees;s reached by the Bank on the basis of monitoring the implementationWith the purpose to ensure the dignity of employees and to provide a workingenvironment in which no worker is exposed to
;This year, what system was revised?;the systemof mobbing prevention;established a system for preventing all forms of mobbing. This year, the systemof mobbing prevention was revised. A special commission for the renewal ofanti-mobbing mec
;A special commission for the renewal of anti-mobbing mechanisms was created in what year?;NLB d.d;d. A special commission for the renewal ofanti-mobbing mechanisms in NLB d.d.
;Who revised the Policy for Prevention of Harassment and Mobbing of Employees in NLB d.d.?;the Bank;, composed of the representatives ofthe Bank, the NLB Workers Council, and the NLB Trade Union, revised thePolic
;What is NLB d.d.?;Rules on the Prevention of Harassment and Mobbing at Work;or Prevention of Harassment and Mobbing of Employees in NLB d.d.,the Rules on the Prevention of Harassment and Mobbing at Work in NLB d.d.,and the Instructions for the Business Process Prevention
;What are the Instructions for the Business Process Prevention of Harassment and Mobbing at Work?;the Rules;cy for Prevention of Harassment and Mobbing of Employees in NLB d.d.,the Rules on the Prevention of Harassment and Mobbing at Work in NLB d.d.,and 
;On a case-by-case basis, what does the Bank determine?;prohibited actions;se documents and the established procedures,the Bank also determines prohibited actions on a case-by-case basis and definesthe procedure for their treatment
OK;Who has been appointed for the prevention of harassment and mobbing at work?;the Bank has appointed the officer;For this purpose, the Bank has appointed the officer for the prevention ofharassment and mobbing at work and established 
;What is the Joint Committee for the Prevention of Harassment and Mobbing composed of?;the representative ofthe Bank;Committee for thePrevention of Harassment and Mobbing, consisting of the representative ofthe Bank, the Workers Council and the representative trade unions.The main r
;Who is the representative of the Bank, the Workers Council and the representative trade unions?;Joint Committee for thePrevention of Harassment and Mobbing; the prevention ofharassment and mobbing at work and established the Joint Committee for thePrevention of Harassment and Mobbing, consisting of the representative ofthe Bank, the Workers Council a
;What are trade unions?;representative;sting of the representative ofthe Bank, the Workers Council and the representative trade unions.The main risks in relation to the above stated issues r
;What is the key goal of NLB d.d.?;to prevent mobbing and any harassment ofemployees;yed by the company to manage these risks.The key goal of NLB d.d. is to prevent mobbing and any harassment ofemployees and to ensure a workplace which successfully prevents this so thatno
OK;What does NLB aim to prevent?;mobbing and any harassment ofemployees;company to manage these risks.The key goal of NLB d.d. is to prevent mobbing and any harassment ofemployees and to ensure a workplace which successfully prevents this so thatno
;What is the goal of NLB d.d.?;preventing mobbing asensuring the dignity of employees; rights of employeesThe goal of NLB d.d. is written in the policy of preventing mobbing asensuring the dignity of employees and providing working environment inwhich no worker is exposed to ma
OK;What are the HR policies and practices based on?;culture promoting equal opportunities and performance ofemployees;performance are respected. The HR policies and practicesare based on culture promoting equal opportunities and performance ofemployees. 
OK;What is respected at the NLB Group level?;equal opportunities, justice;ody implementing the tasks for NLB d.d.Also, at the NLB Group level, equal opportunities, justice, and promotingculture focused on performance are respected. The HR p
OK;What is prohibited in the HR management practice?;Discrimination;Discrimination is prohibited in the HR management practice.The relationship between
OK;What is the relationship between employees and the management founded on?;trust, support, and constant feed-back;e.The relationship between employees and the management is founded ontrust, support, and constant feed-back. In cases of disagreement, the conflictresolution procedure is defin
;Employees participate in what?;the Workers Council and the Trade Union;he conflictresolution procedure is defined.Employees participate in the Workers Council and the Trade Union with whichthe Bank regularly cooperates at formal meetings and throu
OK;What are of key importance to the Bank?;organisational climate/employment engagement and organisational culture;The organisational climate/employment engagement and organisational cultureare of key importance and, therefore, regular measurements are carrie
;What are regular measurements carried out and an action plan for?;improvements;ore, regular measurements are carried outand also an action plan for improvements is prepared. In most cases, personnelpractices of the Bank is above 
;Why are personnel practices of the Bank above the legislative minimum?;employees are highly motivated and included in the Banksoperations;ve legislative minimum because the goal of the Bankis to ensure that employees are highly motivated and included in the Banksoperations. In addition to a penalty in the case of non-fulfilment of legislativ
;The Bank is to ensure that employees are highly motivated and included in what?;the Banksoperations;Bankis to ensure that employees are highly motivated and included in the Banksoperations. In addition to a penalty in the case of non-fulfilment of legislativ
;The Bank regularly monitors the engagement of employees and the organisational culture and what else?;personnel practice;of employees and the organisationalculture, and regularly checks the personnel practice.
;Who monitors the engagement of employees and the organisational culture?;theBank;rements, the employees are the key to success. This is the reason why theBank regularly monitors the engagement of employees and the organisational
;Who regularly checks the personnel practice?;theBank;rements, the employees are the key to success. This is the reason why theBank regularly monitors the engagement of employees and the organisational
;What are the key non-financial performance indicators related to?;organisational culture;ual activities Key non-financial performance indicators related to organisational cultureare listed in the chapter on Social and Human Issues With regard
;What is the chapter on Social and Human Issues?;Key non-financial performance indicators;financial performance indicators relevant to individual activities Key non-financial performance indicators related to organisational cultureare listed in the chapter on Socia
;In regards to anti-mobbing measures, what has been established?;zero tolerance and prohibition ofany form of mobbing;on Social and Human Issues With regard to anti-mobbing measures, zero tolerance and prohibition ofany form of mobbing has been established see also GRI 406 standard All employees rece
;All employees receive what?;compulsory ethics and integrity trainings; been established see also GRI 406 standard All employees receive compulsory ethics and integrity trainings coveringstandards of conduct.Respect for human rights as regardspr
;What is the aim of the NLB Group?;to focus banking business on the prevention ofhuman rights abuse;regardsproducts and services for clientsThe aim of the NLB Group is to focus banking business on the prevention ofhuman rights abuse by introducing business procedures that specifically definehow this 
;What does NLB want to focus on in its banking business?;prevention ofhuman rights abuse; clientsThe aim of the NLB Group is to focus banking business on the prevention ofhuman rights abuse by introducing business procedures that specifically definehow this 
;What does NLB Group members respect?;human rights;t specifically definehow this is done. All NLB Group members respect human rights.Results of policies and internal or external rules, instructions or 
;What is the provision of financial services linked to?;human rightsissues;ations3The provision of financial services is, inter alia, linked to human rightsissues and the efforts to make a positive contribution to exercising of huma
;What is a financial intermediary for economic activities in general?;financial services;rnal or external rules, instructions or regulations3The provision of financial services is, inter alia, linked to human rightsissues and the efforts to make
;What is microfinance?;sustainable development;n general and byoffering investment opportunities that contribute to sustainable developmentmicrofinance.
;NLB Group observes and guarantees the respect for what in banking operations?;human rights;NLB Group observes and guarantees the respect for human rights in bankingoperations through comprehensive business processes and me
;What are the main risks in relation to the above stated issues related to activities of the company?;business relations, products, or services;ove stated issues related to activities of thecompany, including its business relations, products, or services, when this isappropriate and proportionate, which might cause seriou
;What can the financing of certain products and services lead to?;negativeimpacts on human rights;sEnsuring the financing of certain products and services can lead to negativeimpacts on human rights for example, the impact on the survival of localcommunities or infr
;What is the impact on the survival of local communities or infrastructure projects?;negativeimpacts on human rights;sEnsuring the financing of certain products and services can lead to negativeimpacts on human rights for example, the impact on the survival of localcommunities or infr
;What does the Bank not offer that could have negative impacts on human rights?;products and services;ith the applicable regulations anddecisions. The Bank does not offer products and services that could havenegative impacts on human rights, which is ensured by
;What is ensured by regular checks and balances?;human rights;s not offer products and services that could havenegative impacts on human rights, which is ensured by regular monitoringprocesses for all products an
;What is ensured by regular monitoring processes for all products and services offered by NLB Group?;negative impacts on human rights;isions. The Bank does not offer products and services that could havenegative impacts on human rights, which is ensured by regular monitoringprocesses for all products an
OK;What is the NLB Group Code of Conduct?;Thetransparency of products and services and employee behaviour;Thetransparency of products and services and employee behaviour is in linewith the NLB Group Code of Conduct. The employees in banks
OK;What do employees in banks possess better knowledge of?;products and services of the Bank;ode of Conduct. The employees in banks possessingbetter knowledge of products and services of the Bank better manage andadvise clients before selling products. This increa
OK;How do NLB members manage risks?;in accordance with theinstructions;r satisfaction andreliability. Members of the NLB Group manage risks in accordance with theinstructions and comply with the requirements of NLB d.d. 
OK;How do members of the NLB Group manage risks?;in accordance with theinstructions;r satisfaction andreliability. Members of the NLB Group manage risks in accordance with theinstructions and comply with the requirements of NLB d.d. 
;What are the requirements of NLB d.d.?;Members of the NLB Group;lling products. This increases customer satisfaction andreliability. Members of the NLB Group manage risks in accordance with theinstructions and comply with the 
;What is the NLB Group Code of Conduct based on?;zero tolerance approach for any human rights breaches;is provided. The NLB Group Code of Conduct is complied with based onzero tolerance approach for any human rights breaches. The systematicgrowth of the sales culture is ensured through educat
;What is ensured through education, planning, and upgrading of sales communications and management?;The systematicgrowth of the sales culture; with based onzero tolerance approach for any human rights breaches. The systematicgrowth of the sales culture is ensured through education, planning, andupgrading of sales commun
;What did the Bank do through education, planning, and upgrading of sales communications and management?;The systematicgrowth of the sales culture; with based onzero tolerance approach for any human rights breaches. The systematicgrowth of the sales culture is ensured through education, planning, andupgrading of sales commun
;What were the findings reached by the Bank based on?;monitoring the implementation;ommunications and management.3 Findings reached by the Bank based onmonitoring the implementation.
;What is a key non-financial performance indicator?;determining the needs of customersfor a particular product and service;rs relevant to individual activitiesOne key performance indicator is determining the needs of customersfor a particular product and service, which is very important for ensuringcustomer satisfaction and meeti
;What is important for ensuring customer satisfaction and meeting their needs?;determining the needs of customersfor a particular product and service;rs relevant to individual activitiesOne key performance indicator is determining the needs of customersfor a particular product and service, which is very important for ensuringcustomer satisfaction and meeti
;What is very important for ensuring customer satisfaction and meeting their needs?;determining the needs of customersfor a particular product and service;rs relevant to individual activitiesOne key performance indicator is determining the needs of customersfor a particular product and service, which is very important for ensuringcustomer satisfaction and meeti
;What is the second key non-financial performance indicator?;to ensure continuous attention in dealing with clients;ng their needs. The second key non-financialperformance indicator is to ensure continuous attention in dealing with clientsand to check if they operate under jurisdiction characterised by poli
;When is the Bank considering financing business activities in a conflict zone?;Bank is considering financing business activities in a conflict war zone;ability, weak governance, the suppression of minority groups, when theBank is considering financing business activities in a conflict war zone, thedevelopment of financial products for vulnerable segments of cli
;Where is the respect for human rights known to be a problem?;doing business with the corporate sector;ent of financial products for vulnerable segments of clients, or whendoing business with the corporate sector where the respect for human rights isknown to be a problem.Protecti
;What is one of the key rules of admissible conduct set out in the NLB Group Code of Conduct?;Protecting the privacy of customers and employees; be a problem.Protection of the privacy of the clients and employeesProtecting the privacy of customers and employees, as well as third parties, isone of the key rules of admissible cond
OK;What does the Bank ensure in the case of its own data?;confidentiality;onduct set out in the NLB Group Code ofConduct. The Bank ensures the confidentiality of data both in the case of itsown data processing and in the case o
;What kind of processing does a company use to protect its own data?;contractual processors;case of itsown data processing and in the case of data processing by contractual processors.
;What type of processors use the data to protect its own data from being accessed?;contractual processors;case of itsown data processing and in the case of data processing by contractual processors.
;What is one of the goals of NLB d.d.?;to ensure the legality of operations and the reputation;One of the goals is to ensure the legality of operations and the reputation ofNLB d.d., and the members of the NLB Group also follow this approa
;What are the results of policies and internal or external rules, instructions or regulations4?;The NLB Group Code of Conduct;policies and internal or external rules, instructions or regulations4The NLB Group Code of Conduct, and in more detail the NLB CorporateSecurity Policy, defines the ba
OK;What defines the basic goals and principles of protection of people, facilities, information, and property of the bank and its customers?;The NLB Group Code of Conduct;policies and internal or external rules, instructions or regulations4The NLB Group Code of Conduct, and in more detail the NLB CorporateSecurity Policy, defines the ba
;What is one of the key or fundamental goals of corporate security?;toensure the protection of data and information of our customers and employees;stomers. One of the key or fundamental goals of corporate security is toensure the protection of data and information of our customers and employeesand thus ensure their privacy. 
;What is the purpose of security?;toensure the protection of data and information of our customers and employees;stomers. One of the key or fundamental goals of corporate security is toensure the protection of data and information of our customers and employeesand thus ensure their privacy. 
;What are customers and employees supposed to be protected from?;privacy; and information of our customers and employeesand thus ensure their privacy. 
;What does the Bank ensure by implementing measures and upgrading existing measures?;confidentiality of data;he measures and upgrading the existing measures,the Bank ensures the confidentiality of data both in the case of its own dataprocessing and in the case of data p
OK;What is protected by compliance with regulations in the field of personal data protection and implementation of internal rules and procedures?;the privacy of customers andemployees;In addition, the privacy of customers andemployees is protected by compliance with regulations in the field of personal
;What is one of the goals of NLB d.d.?;to ensure the legality of operations and the reputation;ase of data processing by contractual processors. Oneof the goals is to ensure the legality of operations and the reputation of NLBd.d. Members of the NLB Group also follow this approach.
;Members of the NLB Group follow what approach?;privacy;In addition, the privacy of customers andemployees is protected by compliance with regulation
;What are the main risks in relation to the above mentioned issues?;the risk of possible unauthorised access to customer or employee data;nd the methods employed by the company to manage these risksRisks the risk of possible unauthorised access to customer or employee data, the risk of data being disclosed to unauthorised persons, and th
;What might cause serious detrimental effects?;when this isappropriate and proportionate;thecompany, including its business relations, products, or services, when this isappropriate and proportionate, which might cause serious detrimental effects,and the methods emplo
;How does the company manage these risks?;methods;proportionate, which might cause serious detrimental effects,and the methods employed by the company to manage these risksRisks the risk of po
;What is the risk of unauthorised access to customer or employee data?;the risk of data being disclosed to unauthorised persons; risk of possible unauthorised access to customer or employee data, the risk of data being disclosed to unauthorised persons, and the risk of incompetence or inappropriate behaviour of employe
;What is a risk of data being disclosed to unauthorised persons?;the risk of possible unauthorised access to customer or employee data;nd the methods employed by the company to manage these risksRisks the risk of possible unauthorised access to customer or employee data, the risk of data being disclosed to unauthorised persons, and th
;The privacy of NLB d.d. clients as well as customers of individual members of the NLB Group takes into account what?;the new EU rules;customers of individual membersof the NLB Group, taking into account the new EU rules in the field ofpersonal data protection, implemented in 2018 the so
;What does the need-to-know principle mean?;employee has theauthority or right to access only those data and information;ures,for example the need-to-know principle which means that the employee has theauthority or right to access only those data and information that he needs toperform his regular work duties regular verificat
;Who has the authority or right to access personal data?;the employee;measures,for example the need-to-know principle which means that the employee has theauthority or right to access only those data and information 
OK;When was the GDPR regulation implemented?;2018;new EU rules in the field ofpersonal data protection, implemented in 2018 the so-called GDPRregulation is implemented by the company throu
;Who has the authority or right to access only those data and information that he needs to perform his regular work duties?;employee;ures,for example the need-to-know principle which means that the employee has theauthority or right to access only those data and information 
;What does regular verification/verification of the adequacy of allocated rights to access data mean?;the need-to-know principle;plemented by the company through implemented measures,for example the need-to-know principle which means that the employee has theauthority or right to access o
;What is the importance of data and information protection and ethical conduct?;regular education and awareness of employees;erification of the adequacy of the allocated rights toaccess data regular education and awareness of employees on the importance of dataand information protection and ethical cond
;What should be established in the banks branches?;privacy zones;of dataand information protection and ethical conduct established privacy zones in the banks branches identifying possible breaches of data prote
;Who should be able to identify possible breaches of data protection by employees?;established privacy zones in the banks branches; importance of dataand information protection and ethical conduct established privacy zones in the banks branches identifying possible breaches of data protection by employees C
;Where should security checks be carried out?;application support and the computernetwork;es of data protection by employees Carrying out security checks on application support and the computernetwork in order to identify potential vulnerabilities that could jeopardise
;What could jeopardise the confidentiality of data and information?;vulnerabilities;ation support and the computernetwork in order to identify potential vulnerabilities that could jeopardisethe confidentiality of data and information.Ke
;What are non-financial performance indicators relevant to individual activities?;no serious breaches of personal data protection have been confirmed;financial performance indicators relevant to individual activities no serious breaches of personal data protection have been confirmedin relation to employees and customers, or by external contractors an
;Employees receive compulsory training in the field of what?;personal dataprotection and information protection;partners all employees receive compulsory training in the field of personal dataprotection and information protection.
;All employees receive compulsory training in the field of what?;personal dataprotection and information protection;partners all employees receive compulsory training in the field of personal dataprotection and information protection.
;How many Findings reached by the Bank based on monitoring the implementation?;4;4 Findings reached by the Bank based onmonitoring the implementation.
;How many NLB Group Sustainability Report 2020 Contents 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 Roadmap;29;4 Findings reached by the Bank based onmonitoring the implementation.29 NLB Group Sustainability Report 2020Contents 2020 Highlights Sustain
;What did Tina Turk design?;Skripsi brand; Tina Turk, a 21-year-old economics student, designed the sustainableSkripsi brand. 
;What is the name of the sustainable Skripsi brand?;Tina Turk;reneurial spirit in them, interestingentrepreneurial ideas are born. Tina Turk, a 21-year-old economics student, designed the sustainableSkripsi b
;What is Tinas basic idea?;by buying Skripsi;Her basic idea is that by buying Skripsi,customers not only get a nice wooden pen, but atree is planted in t
;What is planted in her name by buying Skripsi?;atree;that by buying Skripsi,customers not only get a nice wooden pen, but atree is planted in their name. Tina is so passionateabout her idea, that 
;How did Tina feel about her idea when she entered the market?;passionate;et a nice wooden pen, but atree is planted in their name. Tina is so passionateabout her idea, that she even invested her scholarshipin its develop
;What happened to the young businesswoman after entering the market?;an epidemic was declared; entering themarket, the young businesswoman suffered a majorblow - an epidemic was declared. In the new situation,she was forced to reduce the necessary investm
;What was the result of the epidemic?;she was forced to reduce the necessary investmentin advertising;ffered a majorblow - an epidemic was declared. In the new situation,she was forced to reduce the necessary investmentin advertising, but she kept on going and becameeven more active on social networks
;How did the businesswoman cope with the new situation?;she was forced to reduce the necessary investmentin advertising;ffered a majorblow - an epidemic was declared. In the new situation,she was forced to reduce the necessary investmentin advertising, but she kept on going and becameeven more active on social networks
;On what social networks did she become more active?;Tina; not only get a nice wooden pen, but atree is planted in their name. Tina is so passionateabout her idea, that she even invested her scholarsh
;What did the HelpFrame project help Tina Turk Skripsi do?;further conquer the market;The HelpFrameproject helped her to further conquer the market.Tina TurkSkripsi, SloveniaFinding way toown a brand withhelp of 
;What was the focus of the fight against corruption and bribery?;the NLB Group Code of Conduct;ght against corruption and bribery wasemphasised by the NLB Group in the NLB Group Code of Conduct, whichprescribes that the NLB Group has zero tolerance for such harm
;What is the NLB Group Code of Conduct?;the NLB Group has zero tolerance for such harmful practices;the NLB Group in the NLB Group Code of Conduct, whichprescribes that the NLB Group has zero tolerance for such harmful practices.NLB Group must reject all forms of bribery and corruption. These for
OK;What does NLB have zero tolerance for?;corruption and bribery;rruption and BriberyAwareness of the importance of the fight against corruption and bribery wasemphasised by the NLB Group in the NLB Group Code of Conduct, whi
;NLB must reject all forms of what?;bribery and corruption;erance for such harmful practices.NLB Group must reject all forms of bribery and corruption. These forms ofaction are unfair, illegal, and detrimental to countr
;What type of actions are unfair, illegal, and detrimental to countries with corrupt practices and society?;bribery and corruption;erance for such harmful practices.NLB Group must reject all forms of bribery and corruption. These forms ofaction are unfair, illegal, and detrimental to countr
;What are employees of the NLB Group subject to?;restrictions on the acceptance and giving of gifts;hird parties. All employees of the NLB Group are thereforesubject to restrictions on the acceptance and giving of gifts, expressions ofhospitality, and other influences on the conduct of e
;What is publicly published on the pages of NLB d.d.?;NLB Group Code ofConduct;We are already bound by the NLB Group Code ofConduct, which is publicly published on the pages of NLB d.d. The same inNLB
;What is subject to restrictions on the acceptance and giving of gifts?;All employees of the NLB Group;lso expected from our customers, businesspartners and third parties. All employees of the NLB Group are thereforesubject to restrictions on the acceptance and giving of
;What does NLB Group have restrictions on?;acceptance and giving of gifts;ployees of the NLB Group are thereforesubject to restrictions on the acceptance and giving of gifts, expressions ofhospitality, and other influences on the conduct of e
;What is prescribed to manage the risks associated with corruption?;Concrete measures;Concrete measures are also prescribed to manage the risks associatedwith this. These a
;What are the policies on the Prevention of Corruption and Bribery and on the Management of Conflicts of Interest?;Concrete measures;Concrete measures are also prescribed to manage the risks associatedwith this. These a
;What are the Standards in the field of Business Compliance and Strengthening Integrity?;Management and Supervision Policy of the NLBGroup;nd on the Management of Conflicts of Interest.In accordance with the Management and Supervision Policy of the NLBGroup, the Standards in the field of Business Compliance and Strengthening
;What are members of the NLB Group required to do?;adoptall internal acts of the NLB d.d.;ngIntegrity also include obligations for members of the NLB Group to adoptall internal acts of the NLB d.d. in the field of prevention of corruption andconflicts of interest, a
;How many confirmed cases of corruption were there in 2020?;no; policies and internal or external rules, instructions, orThere were no confirmed cases of corruption in 2020. Trainings in the fieldof prev
;How many confirmed cases of coruption were in NLB Group in 2020?;;
;At what level were trainings in the field of prevention of corruption and bribery of employees conducted?;;revention of corruption and bribery of employees were conducted withinthe set of trainings in the field of standards of conduct and ensuring
;What was the policy on prevention of corruption and bribery renewed in 2020?;Management of Conflicts of Interest;roup level, the Policy on Prevention of Corruption and Briberyand on Management of Conflicts of Interest was renewed in 2020. Thesystem of risk management of corruption and 
;What was supplemented with additional risk indicators?;system of risk management of corruption and bribery;yand on Management of Conflicts of Interest was renewed in 2020. Thesystem of risk management of corruption and bribery was supplemented withadditional risk indicators red flags, and fol
;What are indicators of corruption?;red flags;ruption and bribery was supplemented withadditional risk indicators red flags, and followed international standards inthe fight against corruptio
;What is a red flag?;additional risk indicators;em of risk management of corruption and bribery was supplemented withadditional risk indicators red flags, and followed international standards inthe fight agains
;How is corruption and bribery regulated?;system of risk management;yand on Management of Conflicts of Interest was renewed in 2020. Thesystem of risk management of corruption and bribery was supplemented withadditional risk indic
;What is the prevention of nepotism and accelerated payments?;ensuring transparency in NLB Group operations;ntatives, the prevention of nepotism and ofaccelerated payments, and ensuring transparency in NLB Group operations.
;What does NLB Group ensure?;transparency; the prevention of nepotism and ofaccelerated payments, and ensuring transparency in NLB Group operations.
;What year did the implementation of activities in this area begin?;2020;nificant progress in the implementation ofactivities in this area in 2020. Implementation activities will continue in 2021.The main risks in r
;What year will the implementation activities continue?;2021;ties in this area in 2020. Implementation activities will continue in 2021.The main risks in relation to the above stated issues related to act
;The main risks in relation to the above mentioned issues related to what?;activities of thecompany;021.The main risks in relation to the above stated issues related to activities of thecompany, including its business relations, products, or services, when this i
OK;What does ECRA stand for?;Enterprise Compliance and integrity Risk Assessment;e methods employed by the company to manage these risks.Based on the Enterprise Compliance and integrity Risk Assessment ECRAdone at the group level, NLB Group did not detect any signific
;What did NLB Group not detect?;any significant new risks;k Assessment ECRAdone at the group level, NLB Group did not detect any significant new risksin the field of the fight against corruption and bribery in 2020. 
;At what level was the Enterprise Compliance and integrity Risk Assessment done?;group level;nterprise Compliance and integrity Risk Assessment ECRAdone at the group level, NLB Group did not detect any significant new risksin the field of t
;At what level did NLB Group not detect any new risks in the field of the fight against corruption and bribery in 2020?;group;nterprise Compliance and integrity Risk Assessment ECRAdone at the group level, NLB Group did not detect any significant new risksin the fiel
;What is the World Economic Forum model?;Good Practice Guidelines;A specificquestionnaire World Economic Forum model Good Practice Guidelineson Conducting Third-Party Due Diligence, Partnering Against Corruptio
;What did the compliance functions carry out in connection with this area?;awareness-raising activities and a risk culture; for this purpose. Nevertheless, the compliancefunctions carried out awareness-raising activities and a risk culture inconnection with this area. Also, the approach to managing these ri
;What is NLB Group exposed to in South-Eastern Europe?;corruption;s. Due to its regionalpresence, NLB Group is exposed to the risks of corruption in the area ofSouth-Eastern Europe.
;What has been strengthened by implementing an assessment of these risks in relations with suppliers?;the approach to managing these risks in day-to-day operations;ing activities and a risk culture inconnection with this area. Also, the approach to managing these risks in day-to-day operations has also been strengthened, for example, by implementingan assessmen
OK;What does the NLB Group do to fight corruption and bribery?;the NLB Group carriesout several activities to manage these risks;As part of the fight against corruption and bribery, the NLB Group carriesout several activities to manage these risks Ensuring specific terms in written agreements and/or general terms
;What is a minimum requirement for investment?;anticorruption and antibriberystandards;eements and/or general termsand conditions with third parties define anticorruption and antibriberystandards as a minimum requirement for investment Internal control mechanism
;In addition to accounting controls, what is an internal control mechanism?;antibribery and anticorruption area;al control mechanisms, including accounting controls, are in place forantibribery and anticorruption area Regular, at minimum annual review, identification and assessment o
;What is in place for antibribery and anticorruption area?;Internal control mechanisms; and antibriberystandards as a minimum requirement for investment Internal control mechanisms, including accounting controls, are in place forantibribery and anti
;What is the minimum annual review of risks of conflicts of interest and corruption in the case of external contractors and suppliers?;Regular;ing controls, are in place forantibribery and anticorruption area Regular, at minimum annual review, identification and assessment of risksof 
;What does whistleblowing stand for?;reporting of suspicionsof harmful conduct;of such events, variouswhistleblowing channels are established for reporting of suspicionsof harmful conduct internally and publicly available. Procedures andmechanisms are in
;What are the channels used to report harmful conduct?;internally and publicly available;nnels are established for reporting of suspicionsof harmful conduct internally and publicly available. Procedures andmechanisms are in place to address suspicions of har
;How are suspicions of harmful conduct addressed?;Procedures andmechanisms;of suspicionsof harmful conduct internally and publicly available. Procedures andmechanisms are in place to address suspicions of harmful conduct and totake cor
;What does NLB d.d. and NLB Group address in the event of a suspicion of corrupt conduct?;suspicions of harmful conduct and totake corrective action;ublicly available. Procedures andmechanisms are in place to address suspicions of harmful conduct and totake corrective action in the event of a suspicion of corrupt conduct NLB d.d. and NLB Gr
;What are the envisaged measures for the protection of applicants and the manner of who orders them?;internal and external; implemented the envisaged measures for theprotection of applicants internal and external and the manner of who ordersthem, and in what way and with what the
;In what year were regular annual trainings conducted for all employees and management of NLB d.d.?;2020;at way and with what the protection of the applicant is ensured In 2020, regular annual trainings were conducted for all employees andmanage
;What type of trainings were conducted for target groups of employees in the field of harmful conduct?;Targeted;the NLB Group in the field ofcorruption and conflicts of interest Targeted trainings were conducted for target groups of employees salesnetwor
;What were available channels for reporting?;suspicions of harmful conduct, corruption;es in the field of harmful conduct,available channels for reporting suspicions of harmful conduct, corruption,conflicts of interest and violations of the NLB Group Code of Conduc
;What are the key non-financial performance indicators monitored under?;GRI205 reporting standard;s Key non-financial performance indicators are monitored under the GRI205 reporting standard.5 Findings reached by the Bank on the basisof monitoring the implem
;What is the GRI 205 reporting standard?;Key non-financial performance indicators are monitored;financial performance indicators relevant to individual activities Key non-financial performance indicators are monitored under the GRI205 reporting standard.5 Findings reached by the Bank 
;How many NLB Group Sustainability Report 2020 Contents 2020 Highlights Sustainability Framework?;31;ngs reached by the Bank on the basisof monitoring the implementation.31 NLB Group Sustainability Report 2020Contents 2020 Highlights Sustain
;What is a risk of internal information leakage?;it is actively managed;rds 2021 RoadmapThere is a risk of internal information leakage, but it is actively managed. 
;What is actively managed?;internal information leakage;Regulation  Governance GRI Standards 2021 RoadmapThere is a risk of internal information leakage, but it is actively managed. 
;What are the rules on the supervision over the implementation of personal transactions in the provision of Investment Services and Transactions in NLB d.d.?;strict instructions;Inthe case of price-sensitive information, there are strict instructions Rules on theSupervision over the Implementation of Personal Transac
;What is the importance of handling price sensitive information?;strict instructions;Inthe case of price-sensitive information, there are strict instructions Rules on theSupervision over the Implementation of Personal Transac
;How are employees reminded of the importance of handling internal information with caution?;by being provided regular news and obligatory training;inded of the importance of handling internal information withcaution by being provided regular news and obligatory training.The employees are satisfied with the possibility of expressing their
;What contributes to a better atmosphere, trust, and openness?;open communication;ed with the possibility of expressing their views andcomments, since open communication contributes to a better atmosphere,trust, and openness.
;In what year did all members of the NLB Group establish their intranets following the example of NLB d.d.?;2017;In 2017, all members of the NLB Group established their intranets followingt
OK;What is the name of the common platform that was established in 2017?;NLB Group Net;s of the NLB Group. In addition, a common platform of the NLBGroup  NLB Group Net was established in 2017, featuring the most topicalnews from all mar
OK;When was Net established?;2017;a common platform of the NLBGroup  NLB Group Net was established in 2017, featuring the most topicalnews from all markets where the NLB Group
