Controlled by,LABEL,question,answer,context
JV,,Where is cchapter Governance found?,Sustainability Report,"overnance structure and composition 1. See cchapter Governance in the Sustainability Report, page 252. "
JV,,Why is the information assessed and monitored internally not reported publicly?,due tobusiness secret,"nis assessed andmonitored internally,however not reportedpublicly due tobusiness secret.CEO StatementKey Highlights 2022About This ReportNLB Group at aG"
JV,,What did NLB Group at a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society?,SustainableOperations, This ReportNLB Group at aGlanceSustainabilityStrategyGovernanceSustainableOperationsSustainable Finance andRisk ManagementMetrics and TargetsContribut
JV,,What is included in the NLB Group operations?,Freedom ofassociation,ive bargaining may be at riskyes Informationunavailable/incompleteFreedom ofassociation andcollective bargaingis included in NLBGroup operationsis descri
JV,,What are requirements embedded in the Groups HR policies?,EBRD PR2 requirements,"s reasonable measures, not to usechild labor or slavery comply with EBRD PR2 requirements as respectivestandards and procedures are embedded in the Groups HR"
JV,,What do NLB Group operations adhere to?,national legislations," ILO standards relatedto elimination of forced labor, they adhere to national legislations whichstrictly prohibit forced labor comply with general provisions "
JV,,What does the Group comply with as standards and procedures are embedded in its HR policies?,EBRD PR2 requirements,"s reasonable measures, notto use child labor or slavery comply with EBRD PR2 requirements as respectivestandards and procedures are embedded in the Groups HR"
JV,,What group has security personnel trained in human rights policies or procedures?,GRI 410 Security410-1,ppendix 5 Overview of sustainability  related policies in NLB GroupGRI 410 Security410-1 Security personnel trained in humanrights policies or procedures1. 
JV,,Where is the chapter Responsible procurement  supply chain management located?,Sustainability Report,"2. See chapter Responsible procurement  supply chainmanagement the Sustainability Report, page 50Public policyGRI 3 Material3-3 Management of material top"
JV,,Where is the chapter Green finance and solutions for clients located?,Sustainability Report,"abeling1. See chapter Green finance and solutions for clientsin the Sustainability Report, page 73417-2 Incidents of non-compliance concerningproduct and ser"
JV,,How many incidents of non-compliance were there in the reporting period?,no material incidents,ce concerningproduct and service information and labelingThere were no material incidents in the reporting period.
JV,,Where is the NLB Groups Annual Report located?,London Stock Exchange,"ietyAppendicesContentsAppendix 3 TCFD Index TableAs an issuer on London Stock Exchange, NLB discloses climate-related financial information for the first ti"
JV,,What is NLBs CEO Statement Key Highlights 2022 About NLB Group at a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society Appendix 3 TCFD Index Table NLB is an issuer on what exchange?,London Stock Exchange,"ietyAppendicesContentsAppendix 3 TCFD Index TableAs an issuer on London Stock Exchange, NLB discloses climate-related financial information for the first ti"
JV,,What does NLB group at a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society?,SustainableOperations, This ReportNLB Group at aGlanceSustainabilityStrategyGovernanceSustainableOperationsSustainable Finance andRisk ManagementMetrics and TargetsContributi
JV,,What is the name of the first green financing offer?,NLBGreen Housing Loan,"Therefore, since the introduction of the first green financing offer NLBGreen Housing Loan in 2020, the Group continues to strengthen its sustainable financep"
JV,,What should banks consider disclosing in their lending and other financial intermediary business activities?,climate-related risks,"14.4. - 14.7.e Additionally, banksshould consider disclosingtheir climate-related riskstransition and physical intheir lending and otherfinancial interm"
JV,,"NLB Group Sustainability Report 2022 1. Chapter Risk metrics and targets, page 72 2. Chapter EU Taxonomy Disclosures, 2. Mandatory indicative value and what other disclosures are provided?",voluntary EU taxonomy," Chapter EU Taxonomy Disclosures,2. Mandatory indicative value and voluntary EU taxonomy disclosures are provided."
JV,,"What is the proportional composition of your portfolio globally and per geographical scope for business, corporate and investment banking?",Portfolio composition,"mpact analysis, please refer toSustainability Report 2021, p. 62b Portfolio composition Has your bank considered thecomposition of its portfolio in % in "
JV,,What does the NLB Group Sustainability Framework include an exclusion list of?,prohibited activities, the NLB Group Sustainability Framework includes anexclusion list of prohibited activities.
JV,,Who was a leading Slovenian climate expert?,Lu�Tka KajfeLlBogataj,"awareness on this topic.NLB Group hosted expert lecturers, prof. dr. Lu�Tka KajfeLlBogataj, leading Slovenian climate expert and TomaLl Fatur,a leading Slovenia"
JV,,Who assures NLB Groups operational carbon footprint measurements?,Institut Jozef Stefan,"2021 andalso in 2022 are assured by the individual external provider,Institut Jozef Stefan.ESG is part of the Audit Universe, defined as a comprehensiveovervi"
JV,,What standards of conduct does the NLB Group Code of Conduct require?,procurement procedure,"ank and the Group. Its purpose is to ensure a uniform and transparentprocurement procedure including the minimum principles of ethical, social and environmenta"
JV,,The policy of appointing and dismissing leading employees in NLB Procedure for the appointment of employees on an individual contract and for employees under the collective agreement with mandate?,adhering to the rules,Byadhering to the rules The Bank complies with the requirements for public disclosure of its 
JV,,How does the Bank ensure that fit and proper evaluation is completed?,adheringto the policy,"act and for employees under the collective agreement with mandate. By adheringto the policy, the Bank ensures that fit and proper evaluation is completed, and th"
JV,,"What are the knowledge, skills and competences required in the workplace?",employees advancement,"ities in the area ofemployee development. The primary purpose is the employees advancement in the knowledge, skills and competences required in the workplace,b"
JV,,What does engagement address retention of key employees in the Bank?,transfer of knowledge,"policy, the Bank addresses retention of key employees in the Bank and transfer of knowledge, and mitigatesthe risk of departures of key employees."
JV,,What policy addresses the NLB employees option to work from home?,Work From Home Policy,Work From Home PolicyThe policy addresses the NLB employees option to work from home. It r
JV,,What does the policy define the process of awarding and disbursing?,variable remuneration,e Supervisory Board of NLB and the process of awarding anddisbursing variable remuneration.Policy to Assess the Suitability ofManagement and Supervisory Board
JV,,Who verified the operational carbon footprint of NLB Group?,Josef Stefan Institute,"f NLB Group was verified by the externaland independent institution, Josef Stefan Institute EnergyEfficiency Centre.The report is published on the Banks web"
JV,,What is the name of the external and independent institution?,Josef Stefan Institute,"f NLB Group was verified by the externaland independent institution, Josef Stefan Institute EnergyEfficiency Centre.The report is published on the Banks web"
JV,,How do we work together?,towards common purpose,"vement We support each other to learnand improve We act together towards common purposeWe understand our clients and colleagues ,and continuously innovate "
JV,,What did NLB Group Sustainability anchor at various levels within the Group?,sustainable operations,ated in ourdaily operations.UntilNLB Group Sustainabilityanchored sustainable operationsat various levels within the Group.Comprehensive NLB GroupSustainab
JV,,What will NLB set up and implement a Net Zero Strategy?,Sustainable Operations,Sustainable Operations NLB Group will disclose all relevant ESG data and furtherimplement
JV,,How do we manage our direct environmental and social impacts while ensuring ethical and efficient operations?,Sustainable operations,Sustainable operations Managing our direct environmental and social impactswhile ensuring
JV,,What are the UN Principles for Responsible Banking?,Sustainability Pillars,ency accountabilityUN Principles for Responsible BankingNLB GroupSustainability PillarsSustainableOperationsSustainableFinanceContribution toSocietyCE
JV,,What is Principle 5?,governance and culture,"rmation, please refer to Chapter Stakeholderengagement.Principle 5 governance and cultureNLB Groups CommitmentWe will implement our commitment to these Prin"
JV,,What is the CEO Statement Key Highlights 2022 About The Report What is of the highest importance for NLB to understand who is the most relevant?,Stakeholder engagement,ementMetrics and TargetsContribution toSocietyAppendicesContentsStakeholder engagementIt is of the highest importance for NLB Groupto understand which sta
JV,,What does this chapter present an overview of?,Stakeholder engagement,ementMetrics and TargetsContribution toSocietyAppendicesContentsStakeholder engagementIt is of the highest importance for NLB Groupto understand which sta
JV,,How does the NLB Group implement a comprehensive sustainability - related governance?,top-down and bottom up,mented a comprehensive sustainability - related governance framework top-down and bottom up.
JV,,What is the name of the designated organisational unit within the Strategy and Business Development Division?,SustainableDevelopment,"anisational settingand established a designated organisational unit, SustainableDevelopment, within the Strategy and Business DevelopmentDivision. In this manne"
JV,,What is the organisational unit within the Strategy and Business Development Division called?,SustainableDevelopment,"anisational settingand established a designated organisational unit, SustainableDevelopment, within the Strategy and Business DevelopmentDivision. In this manne"
JV,,What is the name of the internal document adopted by the Bank?,Internalcontrol system," and improvement.The Bank has adopted the internal document entitled Internalcontrol system ICS, which is a set of rules, procedures andorganisational structu"
JV,,"What is a set of rules, procedures and organisational structures aimed at?",Internalcontrol system," and improvement.The Bank has adopted the internal document entitled Internalcontrol system ICS, which is a set of rules, procedures andorganisational structu"
JV,,What is one way to inform clients about the development of new sustainable banking products?,internal notifications,"clients about the development of new sustainablebanking products via internal notifications, dedicatedinternal pages, manuals and educational meetings."
JV,,What are some regulatory frameworks implemented to the underwriting process?,"MIGA, EBRD, EUtaxonomy","bility reporting requirementsESG riskmanagement Implementation of MIGA, EBRD, EUtaxonomy and other relevant regulatoryframeworks to the underwriting process"
JV,,What is NLB Group determined to increase its direct positive impacts and to mitigate its adverse impacts on environment and society?,Sustainable Operations,ementMetrics and TargetsContribution toSocietyAppendicesContentsSustainable OperationsNLB Group is determined to increase its direct positive impacts and t
JV,,What is the mechanism for the protection and respect of human rights considered?,at the followinglevels,"n and respect of humanrights is considered in our business processes at the followinglevels Employees relations Customer relations, banking products and se"
JV,,What does NLB reject all forms of?,bribery and corruption," tolerance for such harmful practices. NLB Grouprejects all forms of bribery and corruption. These formsof actions are unfair, illegal, and detrimental to count"
JV,,What is a minimum requirement for investment and purchasing?,anti-bribery standards,ral terms and conditions with third parties defineanticorruption and anti-bribery standards as a minimumrequirement for investment and purchasing. Internal co
JV,,"In addition to the experts in compliance, money-laundering prevention and the fight against bribery and corruption, who is a member of the Group?",lawyers or HR managers,"ndering prevention, the fight againstbribery and corruption, or with lawyers or HR managers."
JV,,Financial Accounting and Administration reports to who?,Chief FinancialOfficer,es in NLB d.d. FinancialAccounting and Administration reports to the Chief FinancialOfficer. Important tax issues are discussed and decided by theManagement Boa
JV,,What is included in Scope 1 and 2 calculation?,Upstream leased assets," commuting using ownvehicles, public transport bus,train, taxi8. Upstream leased assetsIncluded in Scope 1and 2 calculation.9. Downstream transport anddi"
JV,,Emission data for these organizations are negligible.,NLB GroupBaselineScope, not available.Emission data for these organizations are negligible.NLB GroupBaselineScope 1-2/emp.Scope 1-3/emp.
JV,,Who verified the carbon footprint of NLB Group?,Jozef Stefan Institute,"f NLB Group was verified by the externaland independent institution, Jozef Stefan Institute Energy Effi-ciency Centre. The verifier issued a positive opinion "
JV,,What is the purpose of NLBs sustainability strategy Governance Sustainable Operations Sustainable Finance and Risk Management?,Contribution toSociety,perationsSustainable Finance andRisk ManagementMetrics and TargetsContribution toSocietyAppendicesContentsKey energy efficiency measuresTo further optimis
JV,,Energy consumption Energy Efficiency Energy performance screening of buildings with the goal of higher what?,energyefficiency level,"ncyEnergy performance screening ofbuildings with the goal of higher energyefficiency level in the buildings especiallyinsulation, window, LED lighting.On tr"
JV,,What is the gender of the NLB Group members?,Male FemaleMale Female,ployees head count GraphNumber of temporary employees head countMale FemaleMale FemaleGraph Number of permanent employees head countMale FemaleNLB d.d
JV,,What does NLB Group place great emphasis on?,developmentof managers,"ent of leadership skillsIn NLB Group, we place great emphasis on the developmentof managers, as we are aware that they are the ones whohave a key influence on t"
JV,,IEDC is one of the leading international management development institutions in Europe.,digital transformation,"As a leader in the region in the field of digital transformation,we make sure that internal employees can also be part ofthis transf"
JV,,What does the employee do not do until the danger has been eliminated?,return to the position,"or, who must take care to eliminate the danger. Theemployee does not return to the position until the danger hasbeen eliminated.The safety statement with the r"
JV,,"What is the CEO Statement Key Highlights 2022 About NLB Group at a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society Appendices Contents In order to achieve the objectives of this diversity policy, NLB applies what measures?",the following measures,"to achieve the objectives of this diversity policy, NLBGroup applies the following measures upon the appointment of new members or re-appointmentof members o"
JV,,"Who has the same opportunities regardless of gender, age, or gender?",All NLB Groupemployees," of jobs using factor analysis according to the job evaluation model. All NLB Groupemployees have the same opportunities regardless of gender, age, and location."
JV,,How do we reduce complexity and time-to-market for new products?,streamlining processes,"hannels, offering personalisedservices tailored to individual needs, streamlining processesto reduce complexity and time-to-market for new productsor services,"
JV,,NLB strives to provide a wide range of what?,24/7 digital solutions,yuse anyhow on a daily basis. NLB strives to provide a widerange of 24/7 digital solutions to come closer to clients andoffer them anchor products and the most
JV,,The methodology used has been developed internally.,Bosnia and Herzegovina,ansitionRiskPhysical RiskFDELIKBHJGM-SCAPhysical RiskBosnia and HerzegovinaContentsEach of the identified physical risk factors is assessed fro
JV,,What does the Group conduct as part of its overall risk identification process?,materiality assessment,"Results of Materiality assessmentThe Group conducts materiality assessment, as part of itsoverall risk identification process, to determine the"
JV,,Sustainable financing is implemented in accordance with the Groups ESMS?,Credit risk management,low risk ofexperiencing material financial impacts from ESG factors.Credit risk managementThe management of ESG risks addresses the Groups overallcredit appr
JV,,What is embedded in KYC rules and procedures?,Collection of ESG data,Key steps of the transaction approval process Collection of ESG data is embedded in KYC know yourclient rules and procedures. After e
JV,,What is the name of the first green financing offer?,NLB Green Housing Loan,"Therefore, since the introduction of the first greenfinancing offer NLB Green Housing Loan in 2020, the Groupcontinues to strengthen its sustainable finance p"
JV,,What is the name of NLBs green financing offering?,NLB Green Housing Loan,"Therefore, since the introduction of the first greenfinancing offer NLB Green Housing Loan in 2020, the Groupcontinues to strengthen its sustainable finance p"
JV,,"In addition to reducing paper usage, what did our employees participate in?",corporate-volunteering,"ge in NLB Groups operations, ouremployees participated in different corporate-volunteering,tree-planting and forest-preservation initiatives. "
JV,,What contributes to a better perception of the business climate in Bosnia and Herzegovina?,high-quality education,hops with youngpeople who want to develop in the business world. The high-quality education contributes to a better perception of thebusiness climate in Bosnia 
JV,,What is SDG 8 in Bosnia and Herzegovina?,high-quality education,hops with youngpeople who want to develop in the business world. The high-quality education contributes to a better perception of thebusiness climate in Bosnia 
JV,,What did NLB Banka Prishtina donate to the Rheumatology Clinic?,acapillaroscope device,"sorders, cognitivedisorders, and voice and swallowing disorders, and acapillaroscope device to the Rheumatology Clinic. They alsosupported Lifeline  the nation"
JV,,What is the name of the chapter in the NLB Group Annual Report 2022?,Corporate governancein,"See chapter Corporate governancein the NLB Group Annual Report 2022, page 1102. See chapter Governance "
JV,,What is the GRI 402 Labor/ Management 402-1 Minimum notice periods regarding operational changes?,operational changes1. ,e 58GRI 402 Labor/Management402-1 Minimum notice periods regardingoperational changes1. 
JV,,What is a direct link between prevention and mitigation of occupational health and safety impacts?,business relationships,"tigation of occupationalhealth and safety impacts directlylinked by business relationships1. See Chapter Health and safety in the Sustainability Report, page 5"
JV,,What does NLB Group provide reasonable measures not to use?,child labor or slavery,"ts sub-contractors NLB Group provides reasonable measures, notto use child labor or slavery comply with EBRD PR2 requirements as respectivestandards and proced"
JV,,"How are processes for identifying, assessing, and managing climate related risks integrated into the organizations?",overallrisk management,managing climate-relatedrisks are integrated intothe organizations overallrisk managementd Banks should considercharacterizing their climate-related risks 
JV,,How should banks describe any risk classification frameworks?,Top and Emerging Risks,"d e.g., theEnhanced Disclosure TaskForces framework for definingTop and Emerging RisksCEO StatementKey Highlights 2022About This ReportNLB Group at a"
JV,,"In 2022, what is the total scope of disclosures for greenhouse gas emissions?","Total Scope 1, 2 and 3","Scope 3 greenhousegas GHG emissionsand the related risksIn 2022, Total Scope 1, 2 and 3 emissions limited inclusion, without Category 15  financedemission"
JV,,What is the name of the agreement that states that a bank will align its business strategy to contribute to individual needs and societys goals?,ParisClimate Agreement,"cietys goals, as expressed in theSustainable Development Goals, the ParisClimate Agreement and relevant nationaland regional frameworks.Business modelDescrib"
JV,,Who signed the Sofia Declaration on the Green Agenda for the Western Balkans?,Bosnia and Herzegovina,"ration Framework between the UN and theRepublic of Serbia 20212025. Bosnia and Herzegovina,Kosovo, Montenegro, Northern Macedonia, and Serbiasigned the Sofia "
JV,,What did the Soil NLB Group implement?,a materiality analysis,"curityIntegrity  security of person SoilNLB Group also implemented a materiality analysis, whichidentified and closely worked with six main stakeholdersinve"
JV,,Which of the following components of impact analysis has your bank completed?,potential positive and,er to identify the areas in whichyour bank has its most significant potential positive and?
JV,,What type of loan is used to finance the construction of turnkey solar power plants?,NLB Green Partner Loan,as follows1.NLB Green Partner Loan to finance the construction of turnkey solar power plants.2.NLB Gree
JV,,How much new sustainable loan volume did the Bank approve?,"over EUR 166,9 million","he Bank was active in providing sustainability financingand approved over EUR 166,9 million of new sustainableloan volume. The purpose of financing was to suppo"
JV,,In what country did NLB Group participate in financing major residential real estate projects?,Bosnia and Hercegovina,"f several larger projects, including major residential realestate in Bosnia and Hercegovina and a large renewablesproject in Serbia.Sustainability was the key "
JV,,We offer loans with a sustainable financing component at a lower interest rate than what bank?,the Banks regularoffer," with a sustainable financingcomponent at a lower interest rate than the Banks regularoffer, contributing to the sustainability goals of transitioningto a low-c"
JV,,What has your bank identified and/or worked on in the reporting period?,Business opportunities,#NAME?
JV,,What are the products for legal entities?,NLB Green partner loan,the region of its operations.The products for legal entities are1. NLB Green partner loan SDG 7Purposes For investments in solar plants.2. 
JV,,"NLB Group finances corporate clients for projects such as  wind farms,  solar power plants,  energy-efficient buildings.",NLB Green Housing loan," Sustainable agricultureThe products for private individuals are1. NLB Green Housing loan SDG 11,12,13Purposes for purchasing or building a passive house, "
JV,,The Chamber of Commerce and Industry of Slovenia is an example of what?,business organisations,"htaircraft.Besides the main stakeholders, NLB Group cooperates withbusiness organisations The Bank Association of Slovenia,AmCham, the Chamber of Commerce an"
JV,,What are PRB remuneration practices linked to?,sustainability targets,"mpacts being detected, as well as remuneration practices linked to sustainability targets."
JV,,What do we do if a client does not comply with the investments ESG requirements?,exiting the investment,"situation and determine the bestcourse of action. This could include exiting the investment, ortaking steps to mitigate the risk of non-compliance. Potentialfi"
JV,,What is the best course of action if the client fails to comply?,exiting the investment,"situation and determine the bestcourse of action. This could include exiting the investment, ortaking steps to mitigate the risk of non-compliance. Potentialfi"
JV,,Who has publicly disclosed information on your PRB commitments been assured by?,an independent assurer,ublicly disclosed information on your PRBcommitments been assured by an independent assurer?
JV,,How does the table present an overview of key internal acts?,policies or strategies,"rparties.The table presents an overview of key internal acts mainly policies or strategies, i.e. "
JV,,What is the main focus of the table?,policies or strategies,"rparties.The table presents an overview of key internal acts mainly policies or strategies, i.e. "
JV,,How does the Bank ensure that fit and proper evaluation is completed?,adhering to the policy," or candidates of the Management Board or SupervisoryBoard of NLB By adhering to the policy, the Bank ensures that fit and proper evaluation is completed, and th"
JV,,At what level does it regulate the area?,the banks of NLB Group,"cts, and at the same time, it also regulates the area at the level of the banks of NLB Group.Instructions for handling complaints in NLBThe policy contains desc"
JV,,What are we aware of the importance of?,thefootprints we create,"nd perhaps evenmore significantly, we are aware of the importance of thefootprints we createnot only today, but also for tomorrow.BlaLl BrodnjakCEO... even "
JV,,"In less than a year, we ensured the supply of electricity from what source?",fully renewable sources,"urces. In less than a year, we ensured the supplyof electricity from fully renewable sources andswitched to a paperless procurement process.We also supported th"
JV,,What will NLB group play an important role in raising?,sustainabilityawareness,"Development Goals. NLB Group will play an important role in raising sustainabilityawareness, building knowledge and capabilities by proactivelyengaging at the l"
JV,,What is the CEO Statement Key Highlights 2022 About This Report NLB Group at a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society,Sustainability Strategy,upported with clear action plans.NLB Groups sustainability approachSustainability StrategyCEO StatementKey Highlights 2022About This ReportNLB Group at aGl
JV,,What does ES stand for in NLB Group?,environmentaland social,n accordance with MIGA and EBRDrequirements improving NLB Groups environmentaland social ES risk managementcapacity reducing credit and liability risks 
JV,,What are the three main pillars of NLB Group sustainability within the Sustainability Framework?,sustainable development,tainabilityWithin the Sustainability Framework three main pillars of sustainable development are defined whichset the broader strategic agenda for implementing s
JV,,What is the CEO Statement Key Highlights 2022?,Sustainability Strategy,upported with clear action plans.NLB Groups sustainability approachSustainability StrategyCEO StatementKey Highlights 2022About This ReportNLB Group at aGl
JV,,What does the ESG score  rating do?,Contribution to society,ry operations Green bond framework development ESG score  ratingContribution to society Active contribution towards wider socio-economicdevelopment with a
JV,,What is one of the strategic orientations of the company?,Sustainable development,Sustainable development is one of the strategic orientations ofthe company. NLB Skladi tackl
JV,,What does ESG stand for?,environmental andsocial,as well as upgrading due diligenceprocesses in order to address ESG environmental andsocial risks within the portfolio.
JV,,What is a special focus on?,data and cyber security,ormed are about reliable sustainability solutions. Special focus on data and cyber security.
JV,,How was the analysis carried out?,in the following phases,roups performance and our stakeholders. The analysis was carried out in the following phasesThe final ranking andshortlisting of the top eightmaterial issues 
JV,,The management of ESG risks follows ECB and EBA guidelines with tendency of their comprehensive integration into all relevant processes?,Systemic RiskManagement,7. Systemic RiskManagementRisk management in the Group is implemented in accordance with the se
JV,,What do we do by taking care of the environment?,createbetter footprints,"By taking care of the environment, we createbetter footprints not only for today, but alsofor tomorrow.Photo The burned-down par"
JV,,What is designed to ensure that a process or other measure is in place for each key risk?,internal control system,siderations are part of the internal control system in NLB Group.The internal control system is designed to ensure that a process or other measure is in place for
JV,,What is the annual review of the remuneration policy for Employees of the NLB and NLB Group?,Amendment of the Policy,"muneration Policy for Employees of NLB and NLB Group annual review, Amendment of the Policy to assess thesuitability of the Management and Supervisory Boardmem"
JV,,What are the majority of committee meetings held once a week?,regularly andfrequently,"Committee meetings areconvened according to the plan of meetings, regularly andfrequently. The majority of them are held once a week, someof them monthly or e"
JV,,What unit is a guardian of the Net-Zero Business Strategy project?,Sustainable Development,"ts. In collaboration with all the relevant functions ofthe Bank, the Sustainable Development unit is also a guardianof the NLB Group Net-Zero Business Strategy p"
JV,,What unit is responsible for managing and executing the sustainability initiatives locally and to report to their local Management Boards?,Sustainable Development," middlemanager, who is responsible for active collaboration with theSustainable Development unit, for managing and executingthe sustainability initiatives local"
JV,,What does the group members establish?,local Coordination body,icationline is also recommended to the Group members byestablishing local Coordination body in addition to theGroup Sustainability Committee to bring more str
JV,,What type of incident or accident related to the client or the project is likely to have a significant adverse business effect?,environmental or social," member these financial Institutions must be promptlynotified of any environmental or social incident or accidentrelated to the client or the project, which has,"
JV,,What are the other strategic goals of the Management Board member for the responsible area?,Contribution to society,vernanceo Sustainable financingo Operational environmental impacto Contribution to society Other strategic goals of the Management Board member for the respon
JV,,"What sets out rules for guaranteed variable remuneration, retention bonus, compensation for early termination of the term of office, and compensation for the non-competition period?",The Remuneration Policy," are not achieved, the MB is not entitled to a performance bonus.2 The Remuneration Policy also sets out rules for guaranteed variable remuneration, retention b"
JV,,How will NLB Group assess and manage environmental and social risks and impacts associated with the transactions?,Sustainabilityframework,"actors and risks are as follows Key internal act is the NLB Group Sustainabilityframework, which laid foundations for three pillars ofsustainability sustaina"
JV,,How does the code of conduct outline values?,sets conduct guidelines,"ocumentthat describes ethical business conduct, outlines values,and sets conduct guidelines for relationships with clients,competitors, business partners, state"
JV,,How are complaints investigated?,thoroughly investigated,"lations, including the protection of personal data.Each complaint is thoroughly investigated and appropriatemeasures are taken to manage the risks or prevent pot"
JV,,What is a driving force for progress and prosperity in the region?,Respecting human rights,fer to Chapter IT and Cyber Securityin NLB Group Annual Report 2022.Respecting human rightsThe NLB Group is making an important contribution to respectfor huma
JV,,"The Universal Declaration of Human Rights, the International Covenant on Civil and Political Rights, and the ILO Declaration on Economic, Social and Cultural Rights are examples of what?",international standards,"NLB Group to respect human rights in accordance with all thehighest international standards, including but not limited tothe Universal Declaration of Human Righ"
JV,,What is the Group following in the fight against corruption?,international standards,nd ensuring transparency in NLBoperations Groups.The Group followsinternational standardsin the fight against corruption.The Enterprise Compliance and Integ
JV,,What is an important body for discussing important tax issues related to the banking industry?,The Banking Association,The Banking Association is an important body for discussingimportant tax issues related to t
JV,,"In Scope 2, what was measured?",both types of emissions," heating, ventilation andair conditioning HVAC systemsIn Scope 2, both types of emissions were measured Scope 2.1  indirect emissions due to electricity co"
JV,,What is planned to be included in 2023 measurement?,Franchises Not relevant,Franchises Not relevant15. Investments Not included Planned to be included in 2023measure
JV,,"What are BEV, PHEV and HEV based on?","Total Rental Costs TRC,","arefulfleet company car selection between BEV, PHEV and HEVbased on Total Rental Costs TRC, usage comparisonand based on operational requirements for each worki"
JV,,What does RES stand for?,RenewableEnergy Sources,"or different situations, Use of electric energy obtained from RES RenewableEnergy Sources to support own company car chargingnetwork this will have a signif"
JV,,What does the Procurement Guideline define?,the procurement process,Procurement Guideline that defines the procurement processalso defines the Due Diligence Questionnaire that is used tothorough
JV,,What does NLB Group at a Glance Sustainability Strategy Governance Sustainable Operations?,Sustainable Finance and,at aGlanceSustainabilityStrategyGovernanceSustainableOperationsSustainable Finance andRisk ManagementMetrics and TargetsContribution toSocietyAppendices
JV,,What is one of the key measures for evaluating the NLBs position on the market?,NPS Net Promoter Score.,f the key measures for evaluating the NLBs positionon the market is NPS Net Promoter Score. It is measuredon a scale from -100 to 100 as willingness to recommen
JV,,What is assessed based on the UNEP-FI methodology?,Transition risk factors," regions arealso classified as high physical risk in the long term.Transition risk factors are assessed based on the UNEP-FImethodology, which is industry base"
JV,,What is the main focus of the company?,approval of newproducts,stainable financing ofits clients. Special attention is given to the approval of newproducts and monitoring of fulfilment of relevant criteriaby the clients. 
JV,,"What is the EBRD environmental classification of NLB Group gross exposure as at 31 December, 2022 in EUR thousand Segment Gross exposure Low Medium High",EBRD Environmental VIEW,"sure as at 31 December, 2022in EUR thousandSegment Gross exposure EBRD Environmental VIEWLow Medium HighThe table shows Gross exposure to credit portfolio va"
JV,,What is the key to a circular economy?,artificial intelligence,"of companies we have chosen to help realise Circular economy where artificial intelligence is the key.With their solution ANTEJA ECG want to ensure 30,000 tons"
JV,,What is Bankarium?,Slovenian BankingMuseum," focused on protection of culturalheritage, namely on Bankarium, the Slovenian BankingMuseum. "
JV,,"What is the name of the chapter on remuneration and integration of ESG goals in the Sustainability Report, page 33?",Remuneration policies 1,"d integration of ESGgoals in the Sustainability Report, page 332-19 Remuneration policies 1. See chapter Remuneration and integration of ESG goalsin the Sustain"
JV,,What is the page 44 - 47 305-4 of the Chapter NLB Groups Operational Environmental Impact in the Sustainability Report?,GHG emissions intensity,"EnvironmentalImpact in the Sustainability Report, page 44 - 47305-4 GHG emissions intensity 1. See Chapter NLB Groups Operational EnvironmentalImpact in the Su"
JV,,Establishing an internal process of assessing the comprehensive data in all NLB Group members is in progress?,GRI 414 Supplier Social,"curement  supply chainmanagement the Sustainability Report, page 50GRI 414 Supplier Social414-1 New suppliers that were screenedusing social criteriayes Infor"
JV,,What does GRI 3 Material 3-3 Management of material topics prohibit?,political contributions,ial3-3 Management of material topics 1. Internal acts that prohibits political contributions.GRI 415 Public415-1 Political contributions NLB Group is political
JV,,What does NLB Group adhere to the fundamental principles of?,responsible advertising, material topics 1.NLB Group adheres to the fundamental principles of responsible advertising and therequirements of national general legislations and specific co
JV,,What principles does NLB adhere to?,responsible advertising, material topics 1.NLB Group adheres to the fundamental principles of responsible advertising and therequirements of national general legislations and specific co
JV,,What is NLB Groups responsibility to support clients in their green transition?,climate-related changes,"3.In NLB Group, we recognise climate-related changes not only as risks, but also asbusiness opportunities, and recognise "
JV,,"Energy, transportation, industry and agriculture are examples of what?",More exposed industries,"ure to emission-intensivesectors in its corporate clients business. More exposed industries represent energy,transportation, industry and agriculture, though th"
JV,,What do you refer to if your bank has taken another approach?,indicators in the Annex,"our mostsignificant impact areas, please also refer to the applicableindicators in the Annex.If your bank has taken another approach to assess theintensity of i"
JV,,What does NLB Groups dedication to UN SDGs reflect?,financing andoperations,NLB Groups dedication to UN SDGs reflects its financing andoperations. SDGs and the Paris Agreement are integratedinto national frameworks
JV,,"In Slovenia, as part of the European Union, we follow all the directives, recommendations and legislation valid in what?",sustainable development,"efollow all the directives, recommendations and legislationvalid in sustainable development, such as the EuropeanGreen Deal. The other countries of our operatio"
JV,,What is the purpose of setting targets?,sustainable development,r bank should consider the main challenges and priorities in termsof sustainable development in your main country/ies of operationfor the purpose of setting targ
JV,,"What can be found in National Development Plans and strategies, international goals, and regional frameworks?",sustainable development,r bank should consider the main challenges and priorities in termsof sustainable development in your main country/ies of operationfor the purpose of setting targ
